sample,runtime_secs,memory_usage_kb,bad_state,bad_step,bad_input
cflobvdd-bit-inversion-6.c,118.70216066666667,5599938.666666667,core-0-bad-exit-code,156,3300
recursive-factorial-fail-1-35.c,134.81796699999998,5879181.333333333,core-0-bad-exit-code,398,3100
simple-if-else-1-35.c,27.232824333333337,1498496.0,core-0-bad-exit-code,107,3100
recursive-ackermann-1-35.c,68.12576233333333,3180961.3333333335,core-0-bad-exit-code,270,3100
nested-recursion-fail-1-35.c,,,,,
two-level-nested-loop-1-35.c,40.920483999999995,2040825.3333333333,core-0-bad-exit-code,189,3100
simple-if-without-else-1-35.c,8.899203,753802.6666666666,core-0-bad-exit-code,106,3100
cflobvdd-multi-input-3.c,22.507159333333334,1375934.6666666667,core-0-bad-exit-code,188,3000
three-level-nested-loop-fail-1-35.c,179.187892,7664072.0,core-0-bad-exit-code,393,3100
simple-increasing-loop-1-35.c,48.83933233333334,2411720.0,core-0-bad-exit-code,269,3100
memory-access-fail-1-35.c,,,,,
cflobvdd-multi-input-5.c,51.08170466666667,2682357.3333333335,core-0-bad-exit-code,262,3000
simple-if-else-reverse-1-35.c,27.087002333333334,1493317.3333333333,core-0-bad-exit-code,105,3100
simple-assignment-1-35.c,6.892007333333333,682201.3333333334,core-0-bad-exit-code,91,3d00
division-by-zero-3-35.c,5.569718333333333,610237.3333333334,core-0-division-by-zero,76,3000
cflobvdd-bit-inversion-2.c,15.388053666666666,1018520.0,core-0-bad-exit-code,118,3200
cflobvdd-multi-input-6.c,76.39505166666667,3839446.6666666665,core-0-bad-exit-code,299,3000
cflobvdd-bit-inversion-5.c,104.48757966666666,4911864.0,core-0-bad-exit-code,149,3300
cflobvdd-bit-inversion-3.c,45.03178466666666,2234757.3333333335,core-0-bad-exit-code,135,3300
invalid-memory-access-fail-2-35.c,6.296855,656826.6666666666,core-0-store-invalid-address,79,3000
cflobvdd-multi-input-4.c,28.015620333333334,1588660.0,core-0-bad-exit-code,225,3000
nested-if-else-1-35.c,25.711756666666663,1558252.0,core-0-bad-exit-code,113,3100
recursive-fibonacci-1-10.c,122.86931133333333,5712669.333333333,core-0-bad-exit-code,230,3100
nested-if-else-reverse-1-35.c,26.379113666666665,1559685.3333333333,core-0-bad-exit-code,112,3100
cflobvdd-bit-inversion-4.c,71.13416833333333,3486074.6666666665,core-0-bad-exit-code,142,3300
return-from-loop-1-35.c,7.616049,735172.0,core-0-bad-exit-code,95,3000
cflobvdd-multi-input-2.c,16.048532333333334,1081244.0,core-0-bad-exit-code,151,3000
simple-decreasing-loop-1-35.c,42.68454499999999,2163180.0,core-0-bad-exit-code,243,3100
